tconst,ordering,nconst,category,job,characters
tt0273672,7,nm0451321,self,\N,"[""Self""]"
tt0288364,1,nm0451321,self,\N,"[""Self""]"
tt0291883,1,nm0006795,actor,\N,"[""Raja""]"
tt0295776,1,nm0451321,actor,\N,"[""Lt. Abhimanyu Rai""]"
tt0296535,10,nm0451321,self,\N,"[""Self""]"
tt0297032,7,nm0451321,self,\N,"[""Self""]"
tt0310254,3,nm0006795,actor,\N,"[""Veer Singh Thakur""]"
tt0310254,4,nm0006795,actor,\N,"[""Ali""]"
tt0313844,11,nm15660741,actor,\N,\N
tt0328671,2,nm0006795,actor,\N,"[""Raj 'Raju' Saxena""]"
tt0328671,3,nm0006795,actor,\N,"[""Raj Mittal""]"
tt0329354,1,nm0006795,actor,\N,"[""Prem Rajput""]"
tt0330843,3,nm0451321,actor,\N,"[""Yeshwant Rao""]"
tt0331639,5,nm0451321,actor,\N,"[""Jaisingh (Drifter)""]"
tt0337578,3,nm0006795,actor,\N,"[""Alok Raj""]"
tt0342949,2,nm0451321,self,\N,"[""Self""]"
tt0344720,1,nm0006795,self,\N,"[""Self""]"
tt0345594,10,nm0006795,actor,\N,"[""Song (Special Appearance)""]"
tt0346723,1,nm0451321,actor,\N,"[""Raj Mathur""]"
tt0346723,17,nm0451321,producer,producer,\N
tt0347304,2,nm0451321,actor,\N,"[""Aman Mathur""]"
tt0347473,1,nm0451321,actor,\N,"[""Maj. Ram Prasad Sharma""]"
tt0347473,16,nm0451321,producer,producer,\N
tt0357208,3,nm0006795,self,\N,"[""Self""]"
tt0367110,1,nm0451321,actor,\N,"[""Mohan Bhargava""]"
tt0370114,1,nm0451321,actor,\N,"[""Shekharan""]"
tt0374271,1,nm0006795,actor,\N,"[""Radhe Mohan""]"
tt0385351,1,nm0451321,actor,\N,"[""Dushant""]"
tt0388197,1,nm0451321,self,\N,"[""Self""]"
tt0390678,5,nm0451321,self,\N,"[""Self""]"
tt0390678,8,nm0006795,self,\N,"[""Self""]"
tt0392360,1,nm0006795,actor,\N,"[""Prithvi""]"
tt0395802,1,nm0006795,actor,\N,"[""Ajay""]"
tt0396410,1,nm0451321,self,\N,"[""Self - Host & Winner""]"
tt0396563,1,nm0006795,actor,\N,"[""Rishabh""]"
tt0397233,1,nm0451321,self,\N,"[""Self - Host""]"
tt0415003,1,nm0006795,actor,\N,"[""ACP Arjun Ranavat""]"
tt0415908,13,nm0451321,producer,producer,\N
tt0418362,1,nm0006795,actor,\N,"[""Sameer Malhotra""]"
tt0419468,2,nm0006795,actor,\N,"[""Avinash 'Avi' B. Kapoor""]"
tt0420332,1,nm0451321,actor,\N,"[""Veer Pratap Singh""]"
tt0422950,1,nm0006795,actor,\N,"[""Rohit Manchanda""]"
tt0430589,1,nm0006795,actor,\N,"[""Ayaan""]"
tt0445883,6,nm0451321,self,\N,"[""Self - Guest""]"
tt0449306,1,nm0006795,actor,\N,"[""Aditya \""Adi\"" Sekhri""]"
tt0449999,1,nm0451321,actor,\N,"[""Dev Saran""]"
tt0451787,1,nm0006795,actor,\N,"[""Anand""]"
tt0451803,1,nm0006795,actor,\N,"[""Dr. Samir Malhotra""]"
tt0451833,2,nm0006795,actor,\N,"[""Prem Khanna""]"
tt0451850,1,nm0451321,actor,\N,"[""Kishan Laal""]"
tt0451850,2,nm0451321,actor,\N,"[""Prem The Ghost (Dual Role)""]"
tt0451850,17,nm0451321,producer,producer,\N
tt0456481,1,nm0006795,actor,\N,"[""Suhaan Kapoor""]"
tt0461936,1,nm0451321,actor,\N,"[""Mark Donald (Don)""]"
tt0461936,2,nm0451321,actor,\N,"[""Vijay Pal""]"
tt0470521,1,nm0006795,actor,\N,"[""Bhagwan's Messenger""]"
tt0476550,2,nm0006795,actor,\N,"[""Arun Prajapati (A. P.)""]"
tt0485272,1,nm0006795,actor,\N,"[""Raúl""]"
tt0485272,2,nm0006795,actor,\N,"[""Rahul""]"
tt0486615,1,nm0006795,actor,\N,"[""Manjeet 'Mannu' Khosla""]"
tt0523720,4,nm0451321,self,\N,"[""Self""]"
tt0618985,2,nm0451321,self,\N,"[""Self""]"
tt0621272,3,nm0451321,self,\N,"[""Self - Guest""]"
tt0621280,4,nm0451321,self,\N,"[""Self - Guest""]"
tt0684982,1,nm0451321,self,\N,"[""Self""]"
tt0685929,3,nm0451321,self,\N,"[""Self""]"
tt0700068,1,nm0006795,self,\N,"[""Self""]"
tt0723929,6,nm0451321,self,\N,"[""Self""]"
