nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,tconst,ordering,category,job,characters,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0119428,1,actor,\N,"[""Raja Patekar""]",movie,Judwaa,Judwaa,0,1997,\N,138,"Action,Comedy,Drama",6.2,7372
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0119428,2,actor,\N,"[""Prem Malhotra""]",movie,Judwaa,Judwaa,0,1997,\N,138,"Action,Comedy,Drama",6.2,7372
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0150992,2,actor,\N,"[""Sameer""]",movie,Straight from the Heart,Hum Dil De Chuke Sanam,0,1999,\N,188,"Comedy,Drama,Musical",7.4,20471
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0168516,8,actor,\N,"[""Vicky Bhandari""]",movie,Biwi Ho To Aisi,Biwi Ho To Aisi,0,1988,\N,149,"Comedy,Drama",5.6,1055
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0172684,4,actor,\N,"[""Aman Mehra""]",movie,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,0,1998,\N,185,"Comedy,Drama,Musical",7.5,59566
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0173080,1,actor,\N,"[""Suraj Khanna""]",movie,Pyaar Kiya To Darna Kya,Pyaar Kiya To Darna Kya,0,1998,\N,162,"Action,Comedy,Drama",6.6,6331
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0182251,1,actor,\N,"[""Suraj Dhanrajgir""]",movie,When One Falls in Love,Jab Pyaar Kisise Hota Hai,0,1998,\N,154,"Comedy,Drama,Romance",5.9,3216
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0207341,2,actor,\N,"[""Prem Mehra""]",movie,Biwi No. 1,Biwi No. 1,0,1999,\N,159,"Comedy,Drama,Romance",5.7,6666
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0216817,2,actor,\N,"[""Prem Chaturvedi""]",movie,Hum Saath-Saath Hain,Hum Saath-Saath Hain,0,1999,\N,177,"Drama,Musical",6.3,10408
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0222024,3,actor,\N,"[""Suraj""]",movie,Hum Tumhare Hain Sanam,Hum Tumhare Hain Sanam,0,2002,\N,174,"Comedy,Drama,Romance",5.4,8068
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0226847,1,actor,\N,"[""Rahul""]",movie,Jaanam Samjha Karo,Jaanam Samjha Karo,0,1999,\N,153,"Drama,Romance",4.8,2088
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0233856,1,actor,\N,"[""Hero""]",movie,Hello Brother,Hello Brother,0,1999,\N,139,"Action,Comedy,Fantasy",4.7,4944
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0244794,5,actor,\N,"[""Prem (Special Appearance)""]",movie,Only You,Sirf Tum,0,1999,\N,150,"Drama,Romance",6.2,1834
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0245825,2,actor,\N,"[""Prem Oberoi""]",movie,Chal Mere Bhai,Chal Mere Bhai,0,2000,\N,136,"Comedy,Romance",4.7,3771
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0247992,1,actor,\N,"[""Raja Oberoi""]",movie,Dulhan Hum Le Jayenge,Dulhan Hum Le Jayenge,0,2000,\N,158,"Comedy,Drama,Romance",5.1,4023
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0250415,1,actor,\N,"[""Raj (Raju)""]",movie,Har Dil Jo Pyar Karega...,Har Dil Jo Pyar Karega...,0,2000,\N,173,"Comedy,Drama,Musical",5.1,5093
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0250415,2,actor,\N,"[""Romi""]",movie,Har Dil Jo Pyar Karega...,Har Dil Jo Pyar Karega...,0,2000,\N,173,"Comedy,Drama,Musical",5.1,5093
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0256692,1,actor,\N,"[""Raj Malhotra""]",movie,Chori Chori Chupke Chupke,Chori Chori Chupke Chupke,0,2001,\N,165,"Comedy,Drama,Musical",5.5,5597
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0268401,2,actor,\N,"[""Prem Kapoor""]",movie,Kahin Pyaar Na Ho Jaaye,Kahin Pyaar Na Ho Jaaye,0,2000,\N,159,"Comedy,Drama,Musical",4.4,2677
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0273452,2,actor,\N,"[""Raju""]",movie,Bandhan,Bandhan,0,1998,\N,154,"Action,Drama,Romance",4.8,2333
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0291883,1,actor,\N,"[""Raja""]",movie,Ek Ladka Ek Ladki,Ek Ladka Ek Ladki,0,1992,\N,162,"Comedy,Romance",5.8,1391
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0310254,3,actor,\N,"[""Veer Singh Thakur""]",movie,Tumko Na Bhool Paayenge,Tumko Na Bhool Paayenge,0,2002,\N,160,"Action,Comedy,Crime",5.7,3536
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0310254,4,actor,\N,"[""Ali""]",movie,Tumko Na Bhool Paayenge,Tumko Na Bhool Paayenge,0,2002,\N,160,"Action,Comedy,Crime",5.7,3536
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0328671,2,actor,\N,"[""Raj 'Raju' Saxena""]",movie,Yeh Hai Jalwa,Yeh Hai Jalwa,0,2002,\N,165,"Comedy,Drama,Romance",4.8,2986
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0328671,3,actor,\N,"[""Raj Mittal""]",movie,Yeh Hai Jalwa,Yeh Hai Jalwa,0,2002,\N,165,"Comedy,Drama,Romance",4.8,2986
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0329354,1,actor,\N,"[""Prem Rajput""]",movie,Marigold,Marigold,0,2007,\N,110,"Comedy,Music,Romance",4.8,2140
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0337578,3,actor,\N,"[""Alok Raj""]",movie,Baghban,Baghban,0,2003,\N,181,"Drama,Romance",7.4,18210
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0345594,10,actor,\N,"[""Song (Special Appearance)""]",movie,Love at Times Square,Love at Times Square,0,2003,\N,120,"Drama,Romance",2.4,250
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0357208,3,self,\N,"[""Self""]",movie,Stumped,Stumped,0,2003,\N,121,"Comedy,Drama,Sport",2.6,149
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0374271,1,actor,\N,"[""Radhe Mohan""]",movie,In Your Name,Tere Naam,0,2003,\N,132,"Action,Drama,Romance",7.2,21645
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0392360,1,actor,\N,"[""Prithvi""]",movie,Love,Love,0,1991,\N,152,"Drama,Musical,Romance",6.0,1756
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0395802,1,actor,\N,"[""Ajay""]",movie,Veergati,Veergati,0,1995,\N,166,"Action,Drama",5.8,1894
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0396563,1,actor,\N,"[""Rishabh""]",movie,Dil Ne Jise Apna Kaha,Dil Ne Jise Apna Kaha,0,2004,\N,135,"Drama,Romance",4.4,2127
